biol_rep,specimen,sample,n_cpg,n_cpg_filtered,day,filtering,input_ng,input_fmol,input_ng_normalized_bef-adapter-lig,input_fmol_normalized_bef-adapter-lig
1,cell-free DNA,FoPHepN1_cfDNA_D0.chm13,24911992,8074345,0,3X,,,,
1,cell-free DNA,FoPHepN1_cfDNA_D10.chm13,28623018,15672825,10,3X,,,,
1,cell-free DNA,FoPHepN1_cfDNA_D20.chm13,23754156,6434749,20,3X,,,,
1,gDNA,FoPHepN1_gDNA_D0.chm13,31102440,24858798,0,3X,,,,
1,gDNA,FoPHepN1_gDNA_D10.chm13,29292136,16928083,10,3X,,,,
1,gDNA,FoPHepN1_gDNA_D20.chm13,31536776,27294526,20,3X,,,,
2,cell-free DNA,FoPHepN2_cfDNA_D0.chm13,31928839,28096341,0,3X,,,,
2,cell-free DNA,FoPHepN2_cfDNA_D10.chm13,28997907,16487761,10,3X,,,,
2,cell-free DNA,FoPHepN2_cfDNA_D20.chm13,30205368,20233505,20,3X,,,,
2,gDNA,FoPHepN2_gDNA_D0.chm13,30389879,22191484,0,3X,,,,
2,gDNA,FoPHepN2_gDNA_D10.chm13,30790586,23818304,10,3X,,,,
2,gDNA,FoPHepN2_gDNA_D20.chm13,31215188,25931129,20,3X,,,,
3,cell-free DNA,FoPHepN3_cfDNA_D0.chm13,32241385,28803750,0,3X,,,,
3,cell-free DNA,FoPHepN3_cfDNA_D10.chm13,29319719,17328077,10,3X,,,,
3,cell-free DNA,FoPHepN3_cfDNA_D20.chm13,29185862,16746114,20,3X,,,,
3,gDNA,FoPHepN3_gDNA_D20.chm13,30745402,23718699,20,3X,,,,
4,cell-free DNA,FoPHepN4_cfDNA_D0.chm13,31717351,27388987,0,3X,,,,
4,cell-free DNA,FoPHepN4_cfDNA_D10.chm13,21749722,5639590,10,3X,,,,
4,cell-free DNA,FoPHepN4_cfDNA_D20.chm13,27169458,14431145,20,3X,,,,
4,gDNA,FoPHepN4_gDNA_D0.chm13,29994024,21223222,0,3X,,,,
4,gDNA,FoPHepN4_gDNA_D10.chm13,29100183,17117379,10,3X,,,,
4,gDNA,FoPHepN4_gDNA_D20.chm13,30230232,21661193,20,3X,,,,
