bp_pos,sample,normalized_fluorescent_units,stage,species,system,timepoint,treatment,line
420.5128205128205,B1: T0_V6.5suclG4-Muh,0.4775348713292505,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
425.6410256410256,B1: T0_V6.5suclG4-Muh,0.465475292096113,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
430.7692307692308,B1: T0_V6.5suclG4-Muh,0.4479494175958142,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
435.8974358974359,B1: T0_V6.5suclG4-Muh,0.4300825536148255,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
441.02564102564105,B1: T0_V6.5suclG4-Muh,0.4170153935515627,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
446.1538461538462,B1: T0_V6.5suclG4-Muh,0.4040617940644502,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
451.28205128205127,B1: T0_V6.5suclG4-Muh,0.3912300644639382,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
456.4102564102564,B1: T0_V6.5suclG4-Muh,0.3758993866836406,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
461.5384615384616,B1: T0_V6.5suclG4-Muh,0.365270547609102,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
466.6666666666667,B1: T0_V6.5suclG4-Muh,0.3570018604546097,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
471.7948717948718,B1: T0_V6.5suclG4-Muh,0.3451758651707896,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
476.9230769230769,B1: T0_V6.5suclG4-Muh,0.3408894919875319,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
482.0512820512821,B1: T0_V6.5suclG4-Muh,0.3330402711346465,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
487.1794871794872,B1: T0_V6.5suclG4-Muh,0.3255674312699232,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
492.3076923076923,B1: T0_V6.5suclG4-Muh,0.3158190713508486,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
497.4358974358975,B1: T0_V6.5suclG4-Muh,0.3076762548620622,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
502.56410256410254,B1: T0_V6.5suclG4-Muh,0.310747314453944,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
507.6923076923077,B1: T0_V6.5suclG4-Muh,0.3133979844875023,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
512.8205128205128,B1: T0_V6.5suclG4-Muh,0.3161597530792996,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
517.948717948718,B1: T0_V6.5suclG4-Muh,0.3205024449222742,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
523.0769230769231,B1: T0_V6.5suclG4-Muh,0.3274348718555069,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
528.2051282051282,B1: T0_V6.5suclG4-Muh,0.3383751561958019,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
533.3333333333334,B1: T0_V6.5suclG4-Muh,0.3478951639536203,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
538.4615384615385,B1: T0_V6.5suclG4-Muh,0.3638662741430477,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
543.5897435897436,B1: T0_V6.5suclG4-Muh,0.3886197099736745,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
548.7179487179487,B1: T0_V6.5suclG4-Muh,0.4121569089562087,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
553.8461538461538,B1: T0_V6.5suclG4-Muh,0.4380305629363946,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
558.974358974359,B1: T0_V6.5suclG4-Muh,0.4579347467388342,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
564.1025641025641,B1: T0_V6.5suclG4-Muh,0.4759277891377678,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
569.2307692307693,B1: T0_V6.5suclG4-Muh,0.4904423079805294,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
574.3589743589744,B1: T0_V6.5suclG4-Muh,0.502272611795694,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
579.4871794871794,B1: T0_V6.5suclG4-Muh,0.5171764372206513,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
584.6153846153846,B1: T0_V6.5suclG4-Muh,0.5353541309629188,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
589.7435897435897,B1: T0_V6.5suclG4-Muh,0.5517687121285866,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
594.8717948717949,B1: T0_V6.5suclG4-Muh,0.5659517818100639,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
600.0,B1: T0_V6.5suclG4-Muh,0.5731550307135196,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
608.1081081081081,B1: T0_V6.5suclG4-Muh,0.5742509364362063,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
616.2162162162163,B1: T0_V6.5suclG4-Muh,0.5761356111471677,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
624.3243243243244,B1: T0_V6.5suclG4-Muh,0.57578015731125,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
632.4324324324324,B1: T0_V6.5suclG4-Muh,0.5739000988838718,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
640.5405405405405,B1: T0_V6.5suclG4-Muh,0.5693182835512798,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
648.6486486486486,B1: T0_V6.5suclG4-Muh,0.5553435621355309,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
656.7567567567568,B1: T0_V6.5suclG4-Muh,0.5402969396717288,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
664.8648648648649,B1: T0_V6.5suclG4-Muh,0.5239377539090612,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
672.972972972973,B1: T0_V6.5suclG4-Muh,0.5144275942228872,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
681.081081081081,B1: T0_V6.5suclG4-Muh,0.5017023468970311,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
689.1891891891892,B1: T0_V6.5suclG4-Muh,0.4976784863735464,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
697.2972972972973,B1: T0_V6.5suclG4-Muh,0.4931711470827657,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
705.4054054054054,B1: T0_V6.5suclG4-Muh,0.4915736052106885,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
713.5135135135135,B1: T0_V6.5suclG4-Muh,0.4836302121727028,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
721.6216216216217,B1: T0_V6.5suclG4-Muh,0.4840758374146153,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
729.7297297297298,B1: T0_V6.5suclG4-Muh,0.4873823274692478,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
737.8378378378378,B1: T0_V6.5suclG4-Muh,0.5027705549182178,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
745.9459459459459,B1: T0_V6.5suclG4-Muh,0.5158527948411862,mESC,mouse,2D,0.0,NONE,V6.5_F1G4
